source_id,source,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name
13748,Species+,Plantae,,,Euphorbiales,Euphorbiaceae,Euphorbia,schinzii
13749,Species+,Plantae,,,Orchidales,Orchidaceae,Laelia,eyermaniana
13751,Species+,Plantae,,,Orchidales,Orchidaceae,Hylaeorchis,petiolaris
13752,Species+,Plantae,,,Caryophyllales,Cactaceae,Opuntia,eichlamii
13753,Species+,Plantae,,,Cyatheales,Cyatheaceae,Cnemidaria,roraimensis
13754,Species+,Plantae,,,Orchidales,Orchidaceae,Bulbophyllum,ellipticifolium
13755,Species+,Plantae,,,Cyatheales,Cyatheaceae,Alsophila,verruculosa
13756,Species+,Plantae,,,Orchidales,Orchidaceae,Leucohyle,mutica
13757,Species+,Plantae,,,Orchidales,Orchidaceae,Maxillaria,marmoliana
13758,Species+,Plantae,,,Orchidales,Orchidaceae,Dryadella,auriculigera
13759,Species+,Plantae,,,Caryophyllales,Cactaceae,Acanthocereus,baxaniensis
13760,Species+,Plantae,,,Orchidales,Orchidaceae,Dendrobium,palpebrae
13761,Species+,Plantae,,,Orchidales,Orchidaceae,Dactylorhiza,elata
13762,Species+,Plantae,,,Cycadales,Zamiaceae,Encephalartos,msinganus
13763,Species+,Plantae,,,Gentianales,Asclepiadaceae,Ceropegia,meleagris
13764,Species+,Plantae,,,Caryophyllales,Cactaceae,Echinopsis,pojoensis
13765,Species+,Plantae,,,Orchidales,Orchidaceae,Bulbophyllum,tenuipes
13769,Species+,Plantae,,,Euphorbiales,Euphorbiaceae,Euphorbia,doinetiana
13771,Species+,Plantae,,,Orchidales,Orchidaceae,Bulbophyllum,cyclopense
13772,Species+,Plantae,,,Gentianales,Asclepiadaceae,Ceropegia,mafekingensis
13773,Species+,Plantae,,,Cyatheales,Cyatheaceae,Alsophila,longipes
13774,Species+,Plantae,,,Orchidales,Orchidaceae,Habenaria,latilabris
13775,Species+,Plantae,,,Orchidales,Orchidaceae,Koellensteinia,kelleriana
13776,Species+,Plantae,,,Caryophyllales,Cactaceae,Opuntia,chaffeyi
13777,Species+,Plantae,,,Orchidales,Orchidaceae,Graphorkis,scripta
13778,Species+,Plantae,,,Orchidales,Orchidaceae,Encyclia,auyantepuiensis
13779,Species+,Plantae,,,Orchidales,Orchidaceae,Vanilla,argentina
13780,Species+,Plantae,,,Orchidales,Orchidaceae,Bulbophyllum,cameronense
13781,Species+,Plantae,,,Orchidales,Orchidaceae,Orchis,saccata
13782,Species+,Plantae,,,Cyatheales,Cyatheaceae,Sphaeropteris,robusta
13783,Species+,Plantae,,,Orchidales,Orchidaceae,Jumellea,jumelleana
13784,Species+,Plantae,,,Orchidales,Orchidaceae,Angraecum,eburneum
13785,Species+,Plantae,,,Cyatheales,Cyatheaceae,Cyathea,werffii
13786,Species+,Plantae,,,Orchidales,Orchidaceae,Dendrobium,parthenium
13787,Species+,Plantae,,,Orchidales,Orchidaceae,Ania,viridfusca
13788,Species+,Plantae,,,Orchidales,Orchidaceae,Sigmatostalix,huebneri
13789,Species+,Plantae,,,Orchidales,Orchidaceae,Bulbophyllum,intricatum
13790,Species+,Plantae,,,Arales,Araceae,Arisaema,jacquemontii
13791,Species+,Plantae,,,Orchidales,Orchidaceae,Stelis,micrantha
13792,Species+,Plantae,,,Caryophyllales,Cactaceae,Echinopsis,saltensis
13793,Species+,Plantae,,,Gentianales,Apocynaceae,Pachypodium,succulentum
13794,Species+,Plantae,,,Orchidales,Orchidaceae,Laelia,rubescens
13795,Species+,Plantae,,,Orchidales,Orchidaceae,Bulbophyllum,inconspicuum
13800,Species+,Plantae,,,Caryophyllales,Cactaceae,Sclerocactus,polyancistrus
13801,Species+,Plantae,,,Orchidales,Orchidaceae,Pleurothallis,tripterantha
13802,Species+,Plantae,,,Euphorbiales,Euphorbiaceae,Euphorbia,virosa
13803,Species+,Plantae,,,Orchidales,Orchidaceae,Beloglottis,ecallosa
13804,Species+,Plantae,,,Cyatheales,Cyatheaceae,Cyathea,coriacea
13805,Species+,Plantae,,,Cycadales,Zamiaceae,Zamia,dressleri
13807,Species+,Plantae,,,Fabales,Leguminosae,Dalbergia,balansae
13808,Species+,Plantae,,,Orchidales,Orchidaceae,Bulbophyllum,flammuliferum
13809,Species+,Plantae,,,Orchidales,Orchidaceae,Bifrenaria,melanopoda
13810,Species+,Plantae,,,Orchidales,Orchidaceae,Masdevallia,strobelii
13811,Species+,Plantae,,,Orchidales,Orchidaceae,Dendrobium,arachnoglossum
13812,Species+,Plantae,,,Orchidales,Orchidaceae,Calanthe,tyoh-harai
13813,Species+,Plantae,,,Orchidales,Orchidaceae,Pleurothallis,aspergillum
13814,Species+,Plantae,,,Cyatheales,Cyatheaceae,Alsophila,hotteana
13815,Species+,Plantae,,,Orchidales,Orchidaceae,Pseuderia,ramosa
13816,Species+,Plantae,,,Myrtales,Myrtaceae,Verticordia,aurea
13817,Species+,Plantae,,,Orchidales,Orchidaceae,Dendrobium,rindjaniense
13818,Species+,Plantae,,,Orchidales,Orchidaceae,Tridactyle,nalaensis
13819,Species+,Plantae,,,Orchidales,Orchidaceae,Habenaria,zothecina
13820,Species+,Plantae,,,Cyatheales,Cyatheaceae,Alsophila,vestita
13821,Species+,Plantae,,,Orchidales,Orchidaceae,Bulbophyllum,carunculatum
13822,Species+,Plantae,,,Orchidales,Orchidaceae,Cadetia,wariana
13823,Species+,Plantae,,,Euphorbiales,Euphorbiaceae,Euphorbia,antiquorum
13824,Species+,Plantae,,,Orchidales,Orchidaceae,Paphiopedilum,callosum
13826,Species+,Plantae,,,Caryophyllales,Cactaceae,Pseudorhipsalis,alata
13828,Species+,Plantae,,,Orchidales,Orchidaceae,Angraecum,urschianum
13829,Species+,Plantae,,,Orchidales,Orchidaceae,Trichoceros,dombeyi
13830,Species+,Plantae,,,Ebenales,Ebenaceae,Diospyros,nigricans
13831,Species+,Plantae,,,Orchidales,Orchidaceae,Bulbophyllum,muscarirubrum
13832,Species+,Plantae,,,Cyatheales,Cyatheaceae,Cyathea,hemiepiphytica
