GBIF Taxon key,GBIF scientific name,rank,kingdom_name,provided species name,speciesplusID
2434919,"Leopardus colocolo (Molina, 1782)",SPECIES,Animalia,Leopardus colocolo,3049
2480584,"Accipiter princeps Mayr, 1934",SPECIES,Animalia,Accipiter princeps,3050
5219683,"Sciurus niger Linnaeus, 1758",SPECIES,Animalia,Sciurus niger,3051
5220086,"Megaptera novaeangliae (Borowski, 1781)",SPECIES,Animalia,Megaptera novaeangliae,3052
2447528,"Phelsuma malamakibo Nussbaum, Raxworthy, Raselimanana & Ramanamanjato, 2000",SPECIES,Animalia,Phelsuma malamakibo,3053
5184614,"Acropora parapharaonis Veron, 2002",SPECIES,Animalia,Acropora parapharaonis,3055
2259315,"Sphenotrochus gardineri Squires, 1961",SPECIES,Animalia,Sphenotrochus gardineri,3056
2433399,"Ailuropoda melanoleuca (David, 1869)",SPECIES,Animalia,Ailuropoda melanoleuca,3057
2402129,"Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833",SPECIES,Animalia,Acipenser gueldenstaedtii,3058
5184622,"Acropora intermedia (Brook, 1891)",SPECIES,Animalia,Acropora intermedia,3059
2436484,"Tarsius syrichta (Linnaeus, 1758)",SPECIES,Animalia,Tarsius syrichta,3060
2260635,"Podabacia motuporensis Veron, 1990",SPECIES,Animalia,Podabacia motuporensis,3063
2470793,"Varanus rosenbergi Mertens, 1957",SPECIES,Animalia,Varanus rosenbergi,3067
5184500,"Polycyathus furanaensis Verheij & Best, 1987",SPECIES,Animalia,Polycyathus furanaensis,3068
4267148,"Macaca leonina Blyth, 1863",SPECIES,Animalia,Macaca leonina,3069
2259355,"Holcotrochus scriptus Dennant, 1902",SPECIES,Animalia,Holcotrochus scriptus,3070
2443109,"Graptemys pulchra Baur, 1893",SPECIES,Animalia,Graptemys pulchra,3071
2434927,"Leopardus braccatus (Cope, 1889)",SPECIES,Animalia,Leopardus braccatus,3072
2259022,"Labyrinthocyathus limatulus (Squires, 1964)",SPECIES,Animalia,Labyrinthocyathus limatulus,3073
2493687,"Lagonosticta rubricata (Lichtenstein, 1823)",SPECIES,Animalia,Lagonosticta rubricata,3074
5219882,"Anomalurus pelii (Schlegel & Måüller, 1845)",SPECIES,Animalia,Anomalurus pelii,3076
5184707,"Acropora kosurini Wallace, 1994",SPECIES,Animalia,Acropora kosurini,3077
2448878,"Calumma glawi Bè hme, 1997",SPECIES,Animalia,Calumma glawi,3078
5225651,"Morelia boeleni Brongersma, 1953",SPECIES,Animalia,Morelia boeleni,3079
5220148,"Gazella cuvieri (Ogilby, 1841)",SPECIES,Animalia,Gazella cuvieri,3080
2448901,"Calumma cucullatum Gray, 1831",SPECIES,Animalia,Calumma cucullatum,3081
2494138,"Kozlowia roborowskii (Prjevalsky, 1887)",SPECIES,Animalia,Kozlowia roborowskii,3082
2475927,"Anorrhinus tickelli (Blyth, 1855)",SPECIES,Animalia,Anorrhinus tickelli,3083
2480027,"Psilopsiagon aymara (Orbigny, 1839)",SPECIES,Animalia,Psilopsiagon aymara,3085
2479901,"Pionus chalcopterus (Fraser, 1841)",SPECIES,Animalia,Pionus chalcopterus,3086
2479989,"Pionopsitta barrabandi (Kuhl, 1820)",SPECIES,Animalia,Pionopsitta barrabandi,3087
5232169,"Otus trichopsis (Wagler, 1832)",SPECIES,Animalia,Otus trichopsis,3088
2476985,"Sternoclyta cyanopectus (Gould, 1846)",SPECIES,Animalia,Sternoclyta cyanopectus,3091
5185585,"Lepidotheca horrida (Hickson & England, 1905)",SPECIES,Animalia,Lepidotheca horrida,3092
2259565,"Trochopsammia togata (van der Horst, 1927)",SPECIES,Animalia,Trochopsammia togata,3093
2259111,"Thalamophyllia gasti (Dè derlein, 1913)",SPECIES,Animalia,Thalamophyllia gasti,3094
2259081,"Deltocyathus varians Gardiner & Waugh, 1938",SPECIES,Animalia,Deltocyathus varians,3095
5218969,"Mustela kathiah Hodgson, 1835",SPECIES,Animalia,Mustela kathiah,3096
5228515,"Goethalsia bella Nelson, 1912",SPECIES,Animalia,Goethalsia bella,3097
2473465,"Melanoperdix niger (Vigors, 1829)",SPECIES,Animalia,Melanoperdix niger,3098
2259389,"Culicia quinaria (Tenison Woods, 1878)",SPECIES,Animalia,Culicia quinaria,3099
5228542,"Cynanthus latirostris Swainson, 1827",SPECIES,Animalia,Cynanthus latirostris,3100
2259986,"Montipora gaimardi Bernard, 1897",SPECIES,Animalia,Montipora gaimardi,3101
2258101,"Tetrapathes alata Brook, 1889",SPECIES,Animalia,Tetrapathes alata,3102
5184815,"Leptoseris amitoriensis Veron, 1990",SPECIES,Animalia,Leptoseris amitoriensis,3106
5220258,"Homopus signatus Schoepff, 1801",SPECIES,Animalia,Homopus signatus,3108
2480589,"Accipiter gentilis (Linnaeus, 1758)",SPECIES,Animalia,Accipiter gentilis,3109
2259570,"Leptopsammia poculum (Alcock, 1902)",SPECIES,Animalia,Leptopsammia poculum,3110
5789320,Otus guatemalae,SPECIES,Animalia,Otus guatemalae,3111
2445749,"Uroplatus ebenaui Boettger, 1879",SPECIES,Animalia,Uroplatus ebenaui,3112
5218668,"Pteropus rufus Tiedemann, 1808",SPECIES,Animalia,Pteropus rufus,3113
2441030,"Hippotragus equinus (Desmarest, 1804)",SPECIES,Animalia,Hippotragus equinus,3114
2265499,"Lepidopora acrolophos Cairns, 1983",SPECIES,Animalia,Lepidopora acrolophos,3116
5184657,"Acropora palmata (Lamarck, 1816)",SPECIES,Animalia,Acropora palmata,3118
2440221,"Dendrolagus ursinus (Temminck, 1836)",SPECIES,Animalia,Dendrolagus ursinus,3121
2259011,"Dactylotrochus cervicornis (Moseley, 1881)",SPECIES,Animalia,Dactylotrochus cervicornis,3122
2259191,"Caryophyllia paucipalata Moseley, 1881",SPECIES,Animalia,Caryophyllia paucipalata,3123
