id,vernacularName,language,locality
1549,Rainha-da-noite; Mandacaru-de-três-quinas; Espada-de-jacaré,PORTUGUES,Nordeste do Brasil
1555,Rabo-de-Arara,PORTUGUES,Nordeste do Brasil
1598,Rabo-de-raposa,PORTUGUES,Sudeste do Brasil
1609,Palmatória; Palma; Palma-miuda; Palma-doce,PORTUGUES,Nordeste do Brasil
1613,Palmatória,PORTUGUES,Nordeste do Brasil
1614,Palmatória; Palma; Palma-gigante; Figo-da-índia; Figo-da-Espanha; Jamaracá; Jurumbeba,PORTUGUES,Nordeste do Brasil
1616,Urumbeba; Palmatória; Monducuru,PORTUGUES,Nordeste do Brasil
1633,Azedinha,PORTUGUES,Nordeste do Brasil
1633,Espinho-preto; Surucucú; Cipó-Santo,PORTUGUES,Nordeste do Brasil
1633,Lobolôbô; Espinho-de-Santo-Antônio,PORTUGUES,Nordeste do Brasil
1633,Ora-pro-nobis,PORTUGUES,Nordeste e sudeste do Brasil
1634,Facho; Ora-pro-nobis-da-mata,PORTUGUES,Nordeste do Brasil
1635,Quiabento (Quiá-bento); Inhabento; Jumbeba; Surucurú; Flor-de-cera; Espinho-de-Santo-Antônio; Entrada-de-baile; Ora-pro-nobis,PORTUGUES,Nordeste do Brasil
1637,Entrada-de-baile; Rosa-mole; Sem-vergonha,PORTUGUES,Nordeste e sudeste do Brasil
1637,Sabonete; Ora-pro-nobis; Quiabento,PORTUGUES,Nordeste e sudeste do Brasil
1638,Ora-pro-nobis,PORTUGUES,Nordeste e sudeste do Brasil
1641,Quiabento (Quiá-bento); Inhabento; Jumbeba; Surucurú; Flor-de-cera; Espinho-de-Santo-Antônio; Entrada-de-baile; Ora-pro-nobis,PORTUGUES,Nordeste do Brasil
1643,. Facheiro-da-praia,PORTUGUES,Nordeste do Brasil
1647,Rabo-de-raposa; Quiabo-da-lapa; Quiabo-do-inferno; Cabeça-de-velho,PORTUGUES,Sudeste do Brasil
1653,Facheiro,PORTUGUES,Nordeste do Brasil
1654,Facheiro; Facheiro-da-praia,PORTUGUES,Nordeste do Brasil
1659,Quiabo-da-lapa,PORTUGUES,Sudeste do Brasil
1664,Xique-xique; Alastrado,PORTUGUES,Nordeste do Brasil
