id,locality,countryCode,establishmentMeans,occurrenceRemarks
112096,Rio Grande do Sul,BR,NATURALIZADA,
116308,Minas Gerais;Bahia,BR,NATURALIZADA,
111950,Santa Catarina;Rio Grande do Sul;Rio de Janeiro;São Paulo,BR,NATIVA,
114892,São Paulo;Paraná,BR,NATURALIZADA,
114894,Distrito Federal;Rio Grande do Sul;São Paulo,BR,NATURALIZADA,
114896,Distrito Federal;Minas Gerais;São Paulo;Alagoas;Bahia;Pernambuco,BR,NATURALIZADA,
16072,Minas Gerais;Maranhão;Rondônia;Pará;Amapá;Paraíba;Bahia;Pernambuco;Piauí;Rio Grande do Norte;Alagoas;Tocantins;Roraima;Sergipe;Paraná;Rio Grande do Sul;Mato Grosso;Goiás;Mato Grosso do Sul;Santa Catarina;Acre;Rio de Janeiro;São Paulo;Ceará;Espírito Santo;Distrito Federal,BR,NATURALIZADA,
112212,Paraná;São Paulo;Rio Grande do Sul;Santa Catarina,BR,NATURALIZADA,
112275,Rio Grande do Sul,BR,NATURALIZADA,
112277,,BR,NATURALIZADA,
124435,São Paulo,BR,NATIVA,
112126,,,,NAO_OCORoraimaE_BRASIL
112131,Santa Catarina;Paraná;Rio Grande do Sul,BR,NATURALIZADA,
16350,Santa Catarina;Rio de Janeiro;Bahia;São Paulo;Paraná;Minas Gerais,BR,NATURALIZADA,
16349,Mato Grosso;Bahia;Rio de Janeiro;Santa Catarina;Paraná;Paraíba;Pernambuco;Rio Grande do Norte;Sergipe;Minas Gerais;Goiás;Mato Grosso do Sul;Ceará;São Paulo;Rondônia;Pará;Amazonas,BR,NATURALIZADA,
80776,Paraná;Distrito Federal;Bahia;Minas Gerais;Santa Catarina;Rio Grande do Norte;Pernambuco;Rio de Janeiro;Alagoas;Ceará;Goiás;Maranhão;Acre;Mato Grosso do Sul;Paraíba;São Paulo,BR,NATURALIZADA,
16083,Mato Grosso do Sul;Rio Grande do Norte;Piauí;São Paulo;Espírito Santo;Pernambuco;Rio de Janeiro;Maranhão;Ceará;Rio Grande do Sul;Bahia;Goiás;Alagoas;Minas Gerais,BR,NATIVA,
16194,Maranhão;São Paulo;Minas Gerais;Santa Catarina;Rio Grande do Sul;Paraná;Rio Grande do Norte;Paraíba;Bahia;Alagoas;Tocantins;Amazonas;Acre;Mato Grosso;Mato Grosso do Sul;Goiás;Ceará;Pernambuco;Piauí;Sergipe,BR,NATIVA,
22210,Amazonas;Pará;Amapá;Acre,BR,NATURALIZADA,
80684,Amazonas,BR,NATIVA,
22211,Goiás;Maranhão;Amazonas;Roraima;Amapá;Acre,BR,NATIVA,
104138,São Paulo;Santa Catarina;Minas Gerais;Rio Grande do Sul;Paraná;Rio de Janeiro,BR,NATURALIZADA,
116306,Acre;São Paulo;Espírito Santo;Amazonas,BR,NATURALIZADA,
104151,Rio Grande do Sul;Bahia;Rio de Janeiro;São Paulo;Paraná;Santa Catarina,BR,NATURALIZADA,
105004,Rio Grande do Sul;Bahia;São Paulo;Santa Catarina;Minas Gerais;Paraná;Rio de Janeiro,BR,NATURALIZADA,
80772,Amazonas;São Paulo;Santa Catarina;Rio Grande do Sul;Paraná;Rio de Janeiro,BR,NATURALIZADA,
107948,Rio Grande do Sul;São Paulo;Distrito Federal;Rio de Janeiro;Espírito Santo,BR,NATIVA,
124437,,BR,NATIVA,
114898,São Paulo,BR,CULTIVADA,
16233,Pernambuco;Tocantins;São Paulo;Rio de Janeiro;Minas Gerais;Bahia;Goiás;Paraná;Mato Grosso do Sul;Mato Grosso,BR,NATURALIZADA,
116390,Rio Grande do Sul,BR,NATURALIZADA,
116912,São Paulo;Rio Grande do Sul,BR,NATIVA,
16098,Ceará;Paraíba;Sergipe;Alagoas;Bahia;Pernambuco;Tocantins;Espírito Santo;Piauí;Roraima;Acre;Rio Grande do Sul;Minas Gerais;Rio de Janeiro;Distrito Federal;Rondônia;Pará;Amapá;Paraná;São Paulo;Amazonas;Mato Grosso;Goiás;Santa Catarina;Mato Grosso do Sul;Maranhão,BR,NATIVA,
22240,,BR,NATURALIZADA,
116392,Espírito Santo;São Paulo;Rio de Janeiro;Minas Gerais,BR,CULTIVADA,
104150,Paraná;São Paulo;Mato Grosso do Sul;Goiás;Ceará;Santa Catarina;Bahia;Acre;Rio de Janeiro;Distrito Federal;Rio Grande do Sul;Espírito Santo;Minas Gerais;Pernambuco,BR,NATURALIZADA,
117564,Santa Catarina;Paraná;Rio Grande do Sul;São Paulo,BR,NATURALIZADA,
15540,Minas Gerais;Rio de Janeiro;Bahia;Espírito Santo,BR,NATIVA,
114447,Goiás;Santa Catarina;Distrito Federal;Espírito Santo;Minas Gerais;Mato Grosso;Mato Grosso do Sul;São Paulo;Rio de Janeiro,BR,NATURALIZADA,
22241,,BR,CULTIVADA,
34117,Rio Grande do Sul;Amazonas;São Paulo;Rio de Janeiro;Minas Gerais;Paraná;Santa Catarina;Mato Grosso;Distrito Federal;Paraíba;Maranhão;Ceará;Bahia;Pará,BR,NATURALIZADA,
1768,Minas Gerais,BR,NATIVA,
1770,Minas Gerais,BR,NATIVA,
127908,Santa Catarina;Espírito Santo;Minas Gerais;São Paulo;Rio de Janeiro;Goiás;Paraná;Mato Grosso do Sul;Mato Grosso;Distrito Federal;Sergipe;Piauí;Pernambuco;Paraíba;Maranhão;Ceará;Bahia;Alagoas;Tocantins;Pará;Amazonas;Acre,BR,NATIVA,
102522,Mato Grosso do Sul,BR,NATURALIZADA,
16341,Bahia;Pará;Rio Grande do Sul;Pernambuco;Paraná;Goiás;Mato Grosso do Sul;Distrito Federal;Santa Catarina;Espírito Santo;Minas Gerais;Rio de Janeiro;São Paulo;Mato Grosso,BR,NATURALIZADA,
97959,Pernambuco;Minas Gerais;Mato Grosso;Bahia;Ceará;Piauí;Mato Grosso do Sul;Goiás,BR,NATIVA,
29764,Distrito Federal;Alagoas;Goiás;Rio de Janeiro;Amazonas;Bahia;Maranhão;Mato Grosso;Minas Gerais;Espírito Santo;Paraná;Pernambuco;São Paulo,BR,NATIVA,
5294,Rio de Janeiro,BR,NATIVA,
34576,Paraná;Rio de Janeiro;São Paulo,BR,NATURALIZADA,
112086,,,,NAO_OCORoraimaE_BRASIL
1546,Santa Catarina;Rio Grande do Sul;Paraná,BR,NATIVA,
102569,Rio Grande do Sul,BR,NATURALIZADA,
102564,Rio Grande do Sul,BR,NATIVA,
102565,Rio Grande do Sul,BR,NATURALIZADA,
102566,,BR,NATIVA,
102568,Rio Grande do Sul;Santa Catarina,BR,NATIVA,
1757,Bahia;Minas Gerais,BR,NATIVA,
1758,Bahia;Minas Gerais,BR,NATIVA,
6701,Paraná;São Paulo;Rio de Janeiro;Santa Catarina;Rio Grande do Sul;Distrito Federal,BR,NATURALIZADA,
137453,Pernambuco,BR,,
22405,Amapá;Rio de Janeiro;Minas Gerais;Espírito Santo;Santa Catarina;Rio Grande do Sul;Paraná;Sergipe;Rio Grande do Norte;Piauí;Pará;Rondônia;Pernambuco;Paraíba;Maranhão;Ceará;Bahia;Alagoas;Tocantins;Roraima;Distrito Federal;Goiás;Mato Grosso do Sul;Acre;Mato Grosso;Amazonas;São Paulo,BR,NATURALIZADA,
127718,Rio Grande do Norte,BR,NATURALIZADA,
6704,Minas Gerais;Acre;Amazonas;Pará;Bahia;Ceará;Maranhão;Paraíba;Pernambuco;Sergipe;Paraná;Rio Grande do Sul;Santa Catarina;Espírito Santo;Distrito Federal;Rio de Janeiro;São Paulo,BR,NATURALIZADA,
111590,,BR,NATIVA,
9597,Rio de Janeiro,BR,NATIVA,
9598,Rio de Janeiro;São Paulo;Minas Gerais;Paraná;Rio Grande do Sul;Santa Catarina,BR,NATIVA,
85294,Pará;Rondônia,BR,NATIVA,
9599,São Paulo;Rio de Janeiro;Paraná;Rio Grande do Sul;Santa Catarina;Minas Gerais,BR,NATIVA,
111381,Minas Gerais,BR,NATIVA,
9596,Paraná;São Paulo;Distrito Federal;Goiás;Rio de Janeiro;Minas Gerais;Santa Catarina;Rio Grande do Sul,BR,NATIVA,
105742,Rio de Janeiro,BR,CULTIVADA,
6702,,,,NAO_OCORoraimaE_BRASIL
109238,Rio Grande do Sul,BR,NATURALIZADA,
109239,Rio de Janeiro;Rio Grande do Sul;Santa Catarina,BR,NATURALIZADA,
