id,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,name_status,cites_listing,cites_listing_original
3230,Animalia,Chordata,Mammalia,Primates,Pitheciidae,Callicebus,brunneus,A,II,II
3231,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,virginianus,A,II,II
3235,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Northiella,haematogaster,A,II,II
3236,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Dendrolagus,inustus,A,II,II
3237,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,echinata,A,II,II
3238,Animalia,Chordata,Aves,Strigiformes,Strigidae,Ninox,superciliaris,A,II,II
3239,Animalia,Chordata,Reptilia,Testudines,Trionychidae,Nilssonia,nigricans,A,I,I
3241,Animalia,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Balanophyllia,malouinensis,A,II,II
3242,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Pyrrhula,erythaca,A,NC,NC
3243,Animalia,Chordata,Mammalia,Primates,Galagidae,Galago,rondoensis,A,II,II
3244,Animalia,Chordata,Mammalia,Primates,Cebidae,Callithrix,melanura,A,II,II
3245,Animalia,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Seriatopora,aculeata,A,II,II
3246,Animalia,Cnidaria,Anthozoa,Scleractinia,Oculinidae,Oculina,robusta,A,II,II
3247,Animalia,Chordata,Reptilia,Serpentes,Colubridae,Enhydris,bocourti,A,NC,NC
3248,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,capensis,A,II,II
3249,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Accipiter,erythropus,A,II,II
3250,Animalia,Chordata,Reptilia,Sauria,Chamaeleonidae,Nadzikambia,baylissi,A,II,II
3252,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Forpus,modestus,A,II,II
3253,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,nesiotis,A,I,I
3254,Animalia,Cnidaria,Anthozoa,Scleractinia,Mussidae,Acanthastrea,minuta,A,II,II
3255,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,africanus,A,I,I
3256,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,xanthops,A,II,II
3259,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Haliaeetus,pelagicus,A,II,II
3260,Animalia,Cnidaria,Anthozoa,Antipatharia,Myriopathidae,Tanacetipathes,thamnea,A,II,II
3261,Animalia,Chordata,Reptilia,Testudines,Geoemydidae,Geoemyda,spengleri,A,II,II
3262,Animalia,Cnidaria,Anthozoa,Scleractinia,Mussidae,Cynarina,lacrymalis,A,II,II
3263,Animalia,Cnidaria,Anthozoa,Antipatharia,Antipathidae,Antipathes,plantagenista,A,II,II
3266,Animalia,Cnidaria,Anthozoa,Scleractinia,Faviidae,Platygyra,crosslandi,A,II,II
3267,Animalia,Chordata,Aves,Strigiformes,Strigidae,Pulsatrix,perspicillata,A,II,II
3268,Animalia,Cnidaria,Anthozoa,Scleractinia,Turbinoliidae,Sphenotrochus,auritus,A,II,II
3269,Animalia,Chordata,Mammalia,Primates,Aotidae,Aotus,miconax,A,II,II
3270,Animalia,Chordata,Aves,Galliformes,Phasianidae,Meleagris,ocellata,A,III,III
3271,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Scaphirhynchus,suttkusi,A,II,II
3272,Animalia,Chordata,Aves,Ciconiiformes,Balaenicipitidae,Balaeniceps,rex,A,II,II
3273,Animalia,Chordata,Reptilia,Serpentes,Pythonidae,Leiopython,bennettorum,A,II,II
3274,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Trochilus,polytmus,A,II,II
3276,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Stephanocyathus,campaniformis,A,II,II
3277,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Butastur,liventer,A,II,II
3278,Animalia,Cnidaria,Anthozoa,Scleractinia,Poritidae,Goniopora,tenuidens,A,II,II
3281,Animalia,Chordata,Aves,Galliformes,Phasianidae,Polyplectron,germaini,A,II,II
3283,Animalia,Chordata,Mammalia,Primates,Lemuridae,Hapalemur,griseus,A,I,I
